GEOID,NAME,population,households,white_population,pc_white_population,pc_minority_population
01,Alabama,4830620,1848325,3204989,66.35,33.650000000000006
02,Alaska,733375,250969,457470,62.38,37.62
04,Arizona,6641928,2412212,3752853,56.5,43.5
05,Arkansas,2958208,1138025,2177308,73.6,26.400000000000006
06,California,38421464,12717801,14879258,38.73,61.27
08,Colorado,5278906,2024468,3646224,69.07,30.930000000000007
09,Connecticut,3593222,1352583,2487119,69.22,30.78
10,Delaware,926454,344022,591922,63.89,36.11
11,District of Columbia,647484,273390,230489,35.6,64.4
12,Florida,19645772,7300494,11013749,56.06,43.94
13,Georgia,10006693,3574362,5460401,54.57,45.43
15,Hawaii,1406299,450572,321832,22.89,77.11
16,Idaho,1616547,589320,1342562,83.05,16.950000000000003
17,Illinois,12873761,4786388,8041878,62.47,37.53
18,Indiana,6568645,2501937,5288121,80.51,19.489999999999995
19,Iowa,3093526,1236409,2703612,87.4,12.599999999999994
20,Kansas,2892987,1113472,2228789,77.04,22.959999999999994
21,Kentucky,4397353,1708499,3762154,85.55,14.450000000000003
22,Louisiana,4625253,1727919,2751183,59.48,40.52
23,Maine,1329100,553284,1247808,93.88,6.1200000000000045
24,Maryland,5930538,2166389,3144084,53.02,46.98
25,Massachusetts,6705586,2549721,4982325,74.3,25.700000000000003
26,Michigan,9900571,3841148,7513622,75.89,24.11
27,Minnesota,5419171,2124745,4427809,81.71,18.290000000000006
28,Mississippi,2988081,1096593,1714674,57.38,42.62
29,Missouri,6045448,2364688,4849886,80.22,19.78
30,Montana,1014699,409394,882585,86.98,13.019999999999996
31,Nebraska,1869365,736613,1509631,80.76,19.239999999999995
32,Nevada,2798636,1016709,1455277,52,48
33,New Hampshire,1324201,520251,1210369,91.4,8.599999999999994
34,New Jersey,8904413,3189486,5093430,57.2,42.8
35,New Mexico,2084117,763603,817048,39.2,60.8
36,New York,19673174,7262279,11170518,56.78,43.22
37,North Carolina,9845333,3775581,6324373,64.24,35.760000000000005
38,North Dakota,721640,299638,628158,87.05,12.950000000000003
39,Ohio,11575977,4585084,9291303,80.26,19.739999999999995
40,Oklahoma,3849733,1455321,2591292,67.31,32.69
41,Oregon,3939233,1533430,3043010,77.25,22.75
42,Pennsylvania,12779559,4958859,9979754,78.09,21.909999999999997
44,Rhode Island,1053661,410602,785245,74.53,25.47
45,South Carolina,4777576,1815094,3051116,63.86,36.14
46,South Dakota,843190,330858,701699,83.22,16.78
47,Tennessee,6499615,2504556,4856869,74.73,25.269999999999996
48,Texas,26538614,9149196,11635757,43.84,56.16
49,Utah,2903379,906292,2308090,79.5,20.5
50,Vermont,626604,257167,586547,93.61,6.390000000000001
51,Virginia,8256630,3062783,5237848,63.44,36.56
53,Washington,6985464,2668912,4943228,70.76,29.239999999999995
54,West Virginia,1851420,740890,1713434,92.55,7.450000000000003
55,Wisconsin,5742117,2299107,4729911,82.37,17.629999999999995
56,Wyoming,579679,226865,489665,84.47,15.530000000000001
72,Puerto Rico,3583073,1244202,24900,0.69,99.31
